hex,accommodation,sports,public,company,healthcare,residense,government,life,technology,shop,finance,landscape,dining
873091caaffffff,0.894736842,1.052631579,1.210526316,5.105263158,1,1.210526316,2.526315789,1.736842105,0.842105263,0.210526316,0.578947368,0.684210526,2.894736842
873091cabffffff,1.210526316,1.263157895,1.421052632,4.789473684,0.894736842,1.789473684,3.157894737,1.684210526,1.210526316,0.263157895,0.684210526,0.947368421,3.421052632
873091cacffffff,0.789473684,1.368421053,1.105263158,5.421052632,1.157894737,1.631578947,3.157894737,1.684210526,1.210526316,0.263157895,0.578947368,0.736842105,3.210526316
873091cadffffff,0.578947368,1.210526316,1.578947368,4.789473684,0.842105263,1.473684211,2.894736842,1.263157895,1.105263158,0.263157895,0.473684211,0.894736842,2.210526316
873091caeffffff,0.842105263,1.052631579,0.947368421,4.842105263,1,1.263157895,2.473684211,1.684210526,0.736842105,0.210526316,0.578947368,0.421052632,2.631578947
873091cb0ffffff,0.157894737,0.315789474,1.263157895,1.631578947,0.157894737,0.526315789,0.631578947,0,0.105263158,0.052631579,0,0.263157895,0.842105263
873091cb1ffffff,0.631578947,0.789473684,1.473684211,4,0.684210526,1.052631579,2,1.210526316,0.578947368,0.105263158,0.315789474,0.421052632,2.736842105
873091cb2ffffff,0.526315789,0.526315789,1.894736842,4.368421053,0.789473684,1,2.263157895,1.421052632,0.473684211,0.210526316,0.421052632,0.421052632,3.947368421
873091cb3ffffff,0.578947368,0.631578947,1.947368421,4.473684211,0.842105263,1.157894737,2.526315789,1.421052632,0.578947368,0.210526316,0.421052632,0.421052632,4.105263158
873091cb5ffffff,0.052631579,0.421052632,1.052631579,2.105263158,0.157894737,0.684210526,0.684210526,0.052631579,0.052631579,0.052631579,0,0.210526316,0.842105263
873091cc0ffffff,8.526315789,9.578947368,0.473684211,34.94736842,9.105263158,13.94736842,18.36842105,23.15789474,17.52631579,3.789473684,9.789473684,2.789473684,49.94736842
873091cc1ffffff,8,8.631578947,0.526315789,30.89473684,6.894736842,12.36842105,13.89473684,13.84210526,16.05263158,3.473684211,5.684210526,2.789473684,37.52631579
873091cc2ffffff,8.263157895,9.736842105,0.421052632,36,9.157894737,14.26315789,19.52631579,22.63157895,17.63157895,3.421052632,9.526315789,2.736842105,50.31578947
873091cc3ffffff,7.473684211,9.578947368,0.526315789,31.94736842,7.894736842,13.26315789,16.68421053,21.36842105,17.26315789,2.894736842,8.421052632,2.842105263,46.57894737
873091cc4ffffff,9.052631579,10.31578947,0.526315789,32.26315789,9.105263158,12.68421053,18.68421053,23.05263158,18,3.736842105,9.684210526,4.789473684,50.21052632
