code,name,population,area,pop
320102,玄武区,537.825,75.46,7.127285979
320104,秦淮区,740.809,49.11,15.08468744
320105,建邺区,534.257,81.75,6.535253823
320106,鼓楼区,940.387,54.18,17.35671835
320111,浦口区,1171.603,910.49,1.286782941
320113,栖霞区,987.835,395.44,2.498065446
320114,雨花台区,608.78,132.39,4.598383564
320115,江宁区,1926.117,1563.33,1.23206041
320116,六合区,946.563,1471,0.643482665
320117,溧水区,491.336,1063.67,0.461925221
320118,高淳区,429.173,790.22,0.543105717
